shape_id,shape_pt_sequence,shape_pt_lon,shape_dist_traveled,shape_pt_lat
SH0200L2000_0,121,-99.1324183597336,10.07,19.4348459513108
SH0200L2000_0,122,-99.132283791192,10.09,19.4347595188749
SH0200L2000_0,123,-99.1322042292972,10.1,19.4346842603852
SH0200L2000_0,124,-99.13215257368348,10.11,19.4345707169609
SH0200L2000_0,125,-99.1321247517959,10.12,19.4344511818356
SH0200L2000_0,126,-99.1321069750842,10.14,19.43428620834861
SH0200L2000_0,127,-99.1321168925856,10.16,19.4340829569788
SH0200L2000_0,128,-99.1322112349999,10.24,19.43332917
SH0200L2000_0,129,-99.13232854852508,10.51,19.4308930646024
SH0200L2000_0,130,-99.1327027597052,10.81,19.4281990280079
SH0200L2000_0,131,-99.1330171745266,11.05,19.4260677017096
SH0200L2000_0,132,-99.13301855595545,11.07,19.4259070181222
SH0200L2000_0,133,-99.132972666955,11.14,19.4252643214012
SH0200L2000_0,134,-99.1329308680344,11.27,19.424072144505104
SH0200L2000_0,135,-99.1328440613346,11.56,19.421458245903896
SH0200L2000_0,136,-99.1328530317074,11.57,19.4213319886829
SH0200L2000_0,137,-99.1328786101673,11.59,19.421174156644103
SH0200L2000_0,138,-99.13292082814633,11.61,19.4210234857553
SH0200L2000_0,139,-99.1329751397989,11.63,19.42086850200069
SH0200L2000_0,140,-99.1331432842037,11.66,19.42064642625889
SH0200L2000_0,141,-99.1335432406582,11.72,19.4202927838377
SH0200L2000_0,142,-99.133674702781,11.74,19.420176479126106
SH0200L2000_0,143,-99.1337925424626,11.76,19.4200444030198
SH0200L2000_0,144,-99.1338846542998,11.78,19.41988652180061
SH0200L2000_0,145,-99.13396308729229,11.81,19.419644005281
SH0200L2000_0,146,-99.1340067278366,11.84,19.4193857330596
SH0200L2000_0,147,-99.1344000880194,12.12,19.4169139574753
SH0200L2000_0,148,-99.1346668184582,12.31,19.4152113039618
SH0200L2000_0,149,-99.1355000207003,12.91,19.4099172895338
SH0200L2000_0,150,-99.13573697582292,13.08,19.4084376791881
SH0200L2000_0,151,-99.13677718133827,13.84,19.4016625652255
SH0200L2000_0,152,-99.13701318562644,14.01,19.4001319346972
SH0200L2000_0,153,-99.1376879679466,14.48,19.395952475590104
SH0200L2000_0,154,-99.1379348500978,14.65,19.394428668414303
SH0200L2000_0,155,-99.13883763879473,15.33,19.388376188212103
SH0200L2000_0,156,-99.13907118425672,15.5,19.3868495191818
SH0200L2000_0,157,-99.1400607560469,16.23,19.3803379424333
SH0200L2000_0,158,-99.1403025270006,16.4,19.3788067211375
SH0200L2000_0,159,-99.1408070250705,16.83,19.3749877683558
SH0200L2000_0,160,-99.140843363401,16.86,19.374760583592305
SH0200L2000_0,161,-99.1409235675584,16.92,19.3742703413587
SH0200L2000_0,162,-99.1414526146978,17.32,19.3707166431847
SH0200L2000_0,163,-99.1416862222026,17.49,19.36918718838189
SH0200L2000_0,164,-99.1427715609471,18.22,19.3627120397951
SH0200L2000_0,165,-99.1432869534643,18.54,19.3598553628087
SH0200L2000_0,166,-99.1441791921935,18.98,19.3559611071923
SH0200L2000_0,167,-99.14477033074829,19.21,19.3540121802502
SH0200L2000_0,168,-99.1452222254731,19.38,19.3525259736702
SH0200L2000_0,169,-99.14534123129248,19.43,19.3520689819974
SH0200L2000_0,170,-99.1454089738789,19.47,19.351757603043
SH0200L2000_0,171,-99.1454586263534,19.5,19.3515007562254
SH0200L2000_0,172,-99.1454916596636,19.53,19.3512525307237
SH0200L2000_0,173,-99.1455590848162,19.6,19.3505839173446
SH0200L2000_0,174,-99.1455677454089,19.65,19.3501233790548
SH0200L2000_0,175,-99.1455401427222,19.7,19.3496772164872
SH0200L2000_0,176,-99.1453821170922,19.81,19.3487404983472
SH0200L2000_0,177,-99.14531385111007,19.84,19.348459356027305
SH0200L2000_0,178,-99.1445644738918,20.19,19.3453911764574
SH0200L2000_0,179,-99.144479540531,20.23,19.3450598331964
SH0200L2000_0,180,-99.1444280046224,20.25,19.3448934513951
SH0200L2000_0,181,-99.1443855829586,20.26,19.344778710766
SH0200L2000_0,182,-99.1443068436217,20.28,19.3446152198332
SH0200L2000_0,183,-99.14421906472472,20.3,19.344484733614603
SH0200L2000_0,184,-99.1441177005517,20.32,19.3443743435902
SH0200L2000_0,185,-99.1439921420105,20.34,19.344251060523
SH0200L2000_0,186,-99.1438651011237,20.36,19.344160776136103
SH0200L2000_0,187,-99.143673061877,20.38,19.3440633695253
SH0200L2000_0,188,-99.1434976863806,20.4,19.3440089899366
SH0200L2000_0,189,-99.143380603552,20.41,19.343984692566
SH0200L2000_0,190,-99.1431863589345,20.43,19.3439575864092
SH0200L2000_0,191,-99.142958114969,20.45,19.3439398321292
SH0200L2000_0,192,-99.1406244727685,20.7,19.34381043062961
SH0200L2000_0,193,-99.1395327765196,20.81,19.3437570980861
SH0200L2000_1,1,-99.1395327765196,0.0,19.3437570980861
SH0200L2000_1,2,-99.1406244727685,0.11,19.34381043062961
SH0200L2000_1,3,-99.142958114969,0.36,19.3439398321292
SH0200L2000_1,4,-99.1431863589345,0.38,19.3439575864092
SH0200L2000_1,5,-99.143380603552,0.4,19.343984692566
SH0200L2000_1,6,-99.1434976863806,0.41,19.3440089899366
SH0200L2000_1,7,-99.143673061877,0.43,19.3440633695253
SH0200L2000_1,8,-99.1438651011237,0.45,19.344160776136103
SH0200L2000_1,9,-99.1439921420105,0.47,19.344251060523
SH0200L2000_1,10,-99.1441177005517,0.49,19.3443743435902
SH0200L2000_1,11,-99.14421906472472,0.51,19.344484733614603
SH0200L2000_1,12,-99.1443068436217,0.53,19.3446152198332
SH0200L2000_1,13,-99.1443855829586,0.55,19.344778710766
SH0200L2000_1,14,-99.1444280046224,0.56,19.3448934513951
SH0200L2000_1,15,-99.144479540531,0.58,19.3450598331964
SH0200L2000_1,16,-99.1445644738918,0.62,19.3453911764574
SH0200L2000_1,17,-99.14531385111007,0.97,19.348459356027305
SH0200L2000_1,18,-99.1453821170922,1.0,19.3487404983472
SH0200L2000_1,19,-99.1455401427222,1.11,19.3496772164872
SH0200L2000_1,20,-99.1455677454089,1.16,19.3501233790548
SH0200L2000_1,21,-99.1455590848162,1.21,19.3505839173446
SH0200L2000_1,22,-99.1454916596636,1.28,19.3512525307237
SH0200L2000_1,23,-99.1454586263534,1.31,19.3515007562254
SH0200L2000_1,24,-99.1454089738789,1.34,19.351757603043
SH0200L2000_1,25,-99.14534123129248,1.38,19.3520689819974
SH0200L2000_1,26,-99.1452222254731,1.43,19.3525259736702
SH0200L2000_1,27,-99.14477033074829,1.6,19.3540121802502
SH0200L2000_1,28,-99.1441791921935,1.83,19.3559611071923
SH0200L2000_1,29,-99.1432869534643,2.27,19.3598553628087
SH0200L2000_1,30,-99.1427715609471,2.59,19.3627120397951
SH0200L2000_1,31,-99.1416862222026,3.32,19.36918718838189
SH0200L2000_1,32,-99.1414526146978,3.49,19.3707166431847
SH0200L2000_1,33,-99.1409235675584,3.89,19.3742703413587
SH0200L2000_1,34,-99.140843363401,3.95,19.374760583592305
SH0200L2000_1,35,-99.1408070250705,3.98,19.3749877683558
SH0200L2000_1,36,-99.1403025270006,4.41,19.3788067211375
SH0200L2000_1,37,-99.1400607560469,4.58,19.3803379424333
SH0200L2000_1,38,-99.13907118425672,5.31,19.3868495191818
SH0200L2000_1,39,-99.13883763879473,5.48,19.388376188212103
SH0200L2000_1,40,-99.1379348500978,6.16,19.394428668414303
SH0200L2000_1,41,-99.1376879679466,6.33,19.395952475590104
SH0200L2000_1,42,-99.13701318562644,6.8,19.4001319346972
SH0200L2000_1,43,-99.13677718133827,6.97,19.4016625652255
SH0200L2000_1,44,-99.13573697582292,7.73,19.4084376791881
SH0200L2000_1,45,-99.1355000207003,7.9,19.4099172895338
SH0200L2000_1,46,-99.1346668184582,8.5,19.4152113039618
SH0200L2000_1,47,-99.1344000880194,8.69,19.4169139574753
SH0200L2000_1,48,-99.1340067278366,8.97,19.4193857330596
SH0200L2000_1,49,-99.13396308729229,9.0,19.419644005281
SH0200L2000_1,50,-99.1338846542998,9.03,19.41988652180061
SH0200L2000_1,51,-99.1337925424626,9.05,19.4200444030198
SH0200L2000_1,52,-99.133674702781,9.07,19.420176479126106
SH0200L2000_1,53,-99.1335432406582,9.09,19.4202927838377
SH0200L2000_1,54,-99.1331432842037,9.15,19.42064642625889
SH0200L2000_1,55,-99.1329751397989,9.18,19.42086850200069
SH0200L2000_1,56,-99.13292082814633,9.2,19.4210234857553
SH0200L2000_1,57,-99.1328786101673,9.22,19.421174156644103
SH0200L2000_1,58,-99.1328530317074,9.24,19.4213319886829
SH0200L2000_1,59,-99.1328440613346,9.25,19.421458245903896
SH0200L2000_1,60,-99.1329308680344,9.54,19.424072144505104
SH0200L2000_1,61,-99.132972666955,9.67,19.4252643214012
SH0200L2000_1,62,-99.13301855595545,9.74,19.4259070181222
SH0200L2000_1,63,-99.1330171745266,9.76,19.4260677017096
SH0200L2000_1,64,-99.1327027597052,10.0,19.4281990280079
SH0200L2000_1,65,-99.13232854852508,10.3,19.4308930646024
SH0200L2000_1,66,-99.1322112349999,10.57,19.43332917
SH0200L2000_1,67,-99.1321168925856,10.65,19.4340829569788
SH0200L2000_1,68,-99.1321069750842,10.67,19.43428620834861
SH0200L2000_1,69,-99.1321247517959,10.69,19.4344511818356
SH0200L2000_1,70,-99.13215257368348,10.7,19.4345707169609
SH0200L2000_1,71,-99.1322042292972,10.71,19.4346842603852
SH0200L2000_1,72,-99.132283791192,10.72,19.4347595188749
SH0200L2000_1,73,-99.1324183597336,10.74,19.4348459513108
SH0200L2000_1,74,-99.132533444303,10.75,19.4349147587457
SH0200L2000_1,75,-99.1326897527392,10.77,19.4349624666964
SH0200L2000_1,76,-99.13318614199991,10.82,19.435044944
SH0200L2000_1,77,-99.135958425,11.11,19.435420373000103
SH0200L2000_1,78,-99.13900030186008,11.43,19.435880711059102
SH0200L2000_1,79,-99.1407610335334,11.62,19.436221043231303
SH0200L2000_1,80,-99.14289069281358,11.85,19.4366124769787
SH0200L2000_1,81,-99.14769873537908,12.37,19.4376492371919
SH0200L2000_1,82,-99.1483542011882,12.44,19.43779312535311
SH0200L2000_1,83,-99.14929500697652,12.54,19.4379539925959
SH0200L2000_1,84,-99.1520288203381,12.83,19.4385523687027
SH0200L2000_1,85,-99.1531421129204,12.95,19.4387924560446
SH0200L2000_1,86,-99.1533683623827,12.98,19.4388705019308
SH0200L2000_1,87,-99.1535225467943,13.0,19.438936376995
SH0200L2000_1,88,-99.15660140128372,13.35,19.4402058287946
SH0200L2000_1,89,-99.1577819077336,13.49,19.4406963115414
SH0200L2000_1,90,-99.1596063031752,13.7,19.4414801936142
SH0200L2000_1,91,-99.161334845102,13.9,19.442174476052
SH0200L2000_1,92,-99.161597096084,13.93,19.442285428984
SH0200L2000_1,93,-99.16184673025292,13.96,19.4423820461692
SH0200L2000_1,94,-99.1620597947922,13.98,19.4424571757463
SH0200L2000_1,95,-99.16223251343278,14.0,19.442515603427506
SH0200L2000_1,96,-99.162693898358,14.05,19.4426323543688
SH0200L2000_1,97,-99.16306576939172,14.09,19.4427157091582
SH0200L2000_1,98,-99.1642544977098,14.22,19.4429812449296
SH0200L2000_1,99,-99.1645104010561,14.25,19.4430431817633
SH0200L2000_1,100,-99.1646213387542,14.26,19.4430741654812
SH0200L2000_1,101,-99.164763799677,14.28,19.4431206626754
SH0200L2000_1,102,-99.16492896178758,14.3,19.4431826812904
SH0200L2000_1,103,-99.1650777509872,14.32,19.4432554746115
SH0200L2000_1,104,-99.1653753612654,14.36,19.4434321451858
SH0200L2000_1,105,-99.16591385179068,14.43,19.4437676034637
SH0200L2000_1,106,-99.166777676069,14.54,19.4442713340619
SH0200L2000_1,107,-99.1687144358466,14.78,19.4453887185522
SH0200L2000_1,108,-99.1690549299476,14.82,19.4455896725724
SH0200L2000_1,109,-99.16930967263156,14.85,19.4457420470743
SH0200L2000_1,110,-99.1693689622474,14.86,19.4457945959661
SH0200L2000_1,111,-99.1694421340436,14.87,19.44586506513361
SH0200L2000_1,112,-99.1695027051701,14.88,19.445937937145104
SH0200L2000_1,113,-99.1698826354806,14.95,19.4464887306227
SH0200L2000_1,114,-99.17081672393748,15.13,19.4478711054111
SH0200L2000_1,115,-99.1715500963544,15.27,19.448933257559
SH0200L2000_1,116,-99.17283078315268,15.52,19.4508352210471
SH0200L2000_1,117,-99.1729270545155,15.54,19.450984291035105
SH0200L2000_1,118,-99.1730792700071,15.57,19.4511878675447
SH0200L2000_1,119,-99.17316105257191,15.58,19.451292519651
SH0200L2000_1,120,-99.1732412923485,15.59,19.4513684799974
SH0200L2000_1,121,-99.173451680269,15.62,19.4515182008712
SH0200L2000_1,122,-99.1744988601433,15.76,19.4522302222651
SH0200L2000_1,123,-99.1769802245295,16.08,19.4539235852423
SH0200L2000_1,124,-99.17736393234148,16.13,19.4541986649417
SH0200L2000_1,125,-99.1777220188474,16.18,19.454466402196697
SH0200L2000_1,126,-99.1785122371265,16.3,19.455205386181603
SH0200L2000_1,127,-99.17889907063672,16.36,19.4555672563324
SH0200L2000_1,128,-99.1789891439085,16.37,19.4556410523784
SH0200L2000_1,129,-99.1790913147052,16.38,19.4557126844438
SH0200L2000_1,130,-99.1791722841412,16.39,19.455759948201106
SH0200L2000_1,131,-99.1794386242964,16.42,19.45589095612911
SH0200L2000_1,132,-99.1797715550277,16.46,19.456059198784803
SH0200L2000_1,133,-99.18015972286508,16.51,19.4562553617954
SH0200L2000_1,134,-99.1803042495814,16.53,19.4563319723871
SH0200L2000_1,135,-99.180427603271,16.55,19.4564100385877
SH0200L2000_1,136,-99.1805335603518,16.56,19.4564852527058
SH0200L2000_1,137,-99.18064103716112,16.57,19.45656692120989
SH0200L2000_1,138,-99.1815909713096,16.7,19.4573304062518
SH0200L2000_1,139,-99.181935117971,16.75,19.4576055156785
SH0200L2000_1,140,-99.1822368646367,16.79,19.4578347579907
SH0200L2000_1,141,-99.1823710783776,16.81,19.457929310496
SH0200L2000_1,142,-99.182511313372,16.83,19.4579980329932
SH0200L2000_1,143,-99.1827110464672,16.85,19.4580724340718
SH0200L2000_1,144,-99.18301263307129,16.88,19.4581572529843
SH0200L2000_1,145,-99.1833869787838,16.92,19.458245028537
SH0200L2000_1,146,-99.185593695424,17.16,19.4587283990938
SH0200L2000_1,147,-99.1889857337813,17.53,19.4595613546235
SH0200L2000_1,148,-99.18932297042272,17.57,19.459623769076604
SH0200L2000_1,149,-99.1897799165247,17.62,19.4596591578172
SH0200L2000_1,150,-99.19020847882628,17.66,19.4596736530958
SH0200L2000_1,151,-99.192456242,17.9,19.459673578
SH0200L2000_1,152,-99.19297556144792,17.95,19.459677745094
SH0200L2000_1,153,-99.1931268154019,17.97,19.4596799751476
SH0200L2000_1,154,-99.1932730134902,17.99,19.4596702549878
SH0200L2000_1,155,-99.1936750467824,18.03,19.45963395957261
SH0200L2000_1,156,-99.1939464409448,18.06,19.4595930935245
SH0200L2000_1,157,-99.1946201434814,18.13,19.4594464421818
SH0200L2000_1,158,-99.1979795473243,18.49,19.458712325738
SH0200L2000_1,159,-99.2005463987762,18.77,19.45820498396289
SH0200L2000_1,160,-99.2007328974,18.79,19.4581701067285
SH0200L2000_1,161,-99.2008891710442,18.81,19.4581555870965
SH0200L2000_1,162,-99.2011387417928,18.84,19.4581624837181
SH0200L2000_1,163,-99.2013543005702,18.86,19.4581849598832
SH0200L2000_1,164,-99.20151692644568,18.88,19.4582110812673
SH0200L2000_1,165,-99.20173000589908,18.9,19.45826703506589
SH0200L2000_1,166,-99.2018800469991,18.92,19.4583087122387
SH0200L2000_1,167,-99.20286481148572,19.03,19.4586136732868
SH0200L2000_1,168,-99.20528193191,19.3,19.4593270856246
SH0200L2000_1,169,-99.20997616563756,19.81,19.4606284427656
SH0200L2000_1,170,-99.2101990354117,19.84,19.460711466294
SH0200L2000_1,171,-99.21044941199992,19.87,19.460820781000105
SH0200L2000_1,172,-99.21080081516727,19.91,19.461008936920603
SH0200L2000_1,173,-99.2112423327749,19.97,19.461290571996106
SH0200L2000_1,174,-99.2122695358411,20.12,19.4622171161753
SH0200L2000_1,175,-99.21247139378691,20.15,19.4623603452633
SH0200L2000_1,176,-99.21275006653008,20.18,19.4625120916549
SH0200L2000_1,177,-99.2135444390932,20.27,19.4629190061142
SH0200L2000_1,178,-99.2137939810656,20.3,19.46303355662
SH0200L2000_1,179,-99.2140138989808,20.32,19.4631059863373
SH0200L2000_1,180,-99.2142256924127,20.34,19.4631344292948
SH0200L2000_1,181,-99.21440315637906,20.36,19.4631284808836
SH0200L2000_1,182,-99.2146269772367,20.38,19.463101435815
SH0200L2000_1,183,-99.21485075518048,20.4,19.46304187167189
SH0200L2000_1,184,-99.21504627366129,20.42,19.4629632120418
SH0200L2000_1,185,-99.2151953922833,20.44,19.46287313004349
SH0200L2000_1,186,-99.2153686608298,20.46,19.4627447617653
SH0200L2000_1,187,-99.2155076373633,20.48,19.4626106954681
SH0200L2000_1,188,-99.21558816690508,20.49,19.4625053916791
SH0200L2000_1,189,-99.2156867531637,20.51,19.462329290051105
SH0200L2000_1,190,-99.21574703438353,20.53,19.4621627983234
SH0200L2000_1,191,-99.2157807956722,20.55,19.4619530733617
SH0200L2000_1,192,-99.2158529980187,20.77,19.4599876689448
SH0200L2000_1,193,-99.215842489255,20.81,19.4595932088305
SH0200L3000_0,1,-99.11950993810048,0.0,19.495337618202
SH0200L3000_0,2,-99.1197283494958,0.11,19.4944069641572
SH0200L3000_0,3,-99.1200159500184,0.24,19.493261653670302
SH0200L3000_0,4,-99.1200891132164,0.27,19.4929782606364
SH0200L3000_0,5,-99.1201313574922,0.29,19.492822572454
SH0200L3000_0,6,-99.12022038061156,0.32,19.492552805859106
SH0200L3000_0,7,-99.120445827,0.4,19.491844132
SH0200L3000_0,8,-99.1205512367428,0.44,19.4915335975722
SH0200L3000_0,9,-99.1206650779999,0.47,19.491272353000102
SH0200L3000_0,10,-99.12092521741128,0.53,19.4907819072253
SH0200L3000_0,11,-99.1212145896298,0.59,19.490338404991697
SH0200L3000_0,12,-99.1221065358204,0.75,19.48921545023289
SH0200L3000_0,13,-99.1250481213507,1.25,19.485661421867302
SH0200L3000_0,14,-99.1260747764598,1.43,19.4844122734895
SH0200L3000_0,15,-99.1315802587772,2.37,19.4777198119164
SH0200L3000_0,16,-99.13259415684092,2.54,19.476485133271503
SH0200L3000_0,17,-99.1347978093752,2.92,19.4738006172513
SH0200L3000_0,18,-99.1350612237256,2.96,19.473543989575
SH0200L3000_0,19,-99.135325255983,3.0,19.47333146317
SH0200L3000_0,20,-99.1356024018742,3.04,19.4731246651995
SH0200L3000_0,21,-99.1361716205506,3.12,19.4727121166467
SH0200L3000_0,22,-99.136419520044,3.15,19.4725053393978
SH0200L3000_0,23,-99.13665732988,3.18,19.4722928307838
SH0200L3000_0,24,-99.1368628551902,3.21,19.4720631303402
SH0200L3000_0,25,-99.1380777673472,3.42,19.4705950313538
SH0200L3000_0,26,-99.1414725786058,4.0,19.4665194169747
SH0200L3000_0,27,-99.1416538720321,4.03,19.4662706011509
SH0200L3000_0,28,-99.1417595881687,4.05,19.466081621725603
SH0200L3000_0,29,-99.14182746270642,4.08,19.4658615875662
SH0200L3000_0,30,-99.1419233885922,4.13,19.465431114736
SH0200L3000_0,31,-99.1419755445288,4.17,19.4651097102272
SH0200L3000_0,32,-99.142007412837,4.22,19.4646505942928
SH0200L3000_0,33,-99.142003955,4.27,19.464206536000106
SH0200L3000_0,34,-99.1419704795306,4.34,19.4635627927218
SH0200L3000_0,35,-99.141924910778,4.39,19.4631246594689
SH0200L3000_0,36,-99.1418772152418,4.43,19.4628128945674
SH0200L3000_0,37,-99.14188212889732,4.45,19.4626297353901
