stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
0200L8-OBRERA,Obrera,19.41324,-99.14404,0200L8-OBRERA,2
0200L8-DOCTORES,Doctores,19.42155,-99.14319,0200L8-DOCTORES,2
0200L8-SALTOAGUA,Salto del Agua,19.42772,-99.14185,0200L8-SALTOAGUA,2
0200L8-SANJUANLETRAN,San Juan de Letrán,19.43158,-99.14125,0200L8-SANJUANLETRAN,2
0200L8-BELLASARTES,Bellas Artes,19.43701,-99.14042,0200L8-BELLASARTES,2
0200L8-GARIBALDI,Garibaldi y Lagunilla,19.44400000000001,-99.139,0200L8-GARIBALDI,2
0200L7-BARRANCA,Barranca del Muerto,19.3615,-99.18926,0200L7-BARRANCA,2
0200L7-MIXCOAC,Mixcoac,19.37626,-99.18758,0200L7-MIXCOAC,2
0200L7-SANANTONIO,San Antonio,19.38434,-99.18661,0200L7-SANANTONIO,2
0200L7-SANPEDROPINOS,San Pedro de los Pinos,19.39149,-99.18581,0200L7-SANPEDROPINOS,2
0200L7-TACUBAYA,Tacubaya,19.40219,-99.18675,0200L7-TACUBAYA,2
0200L7-CONSTITUYENTES,Constituyentes,19.41177,-99.19135,0200L7-CONSTITUYENTES,2
0200L7-AUDITORIO,Auditorio,19.42576,-99.19203,0200L7-AUDITORIO,2
0200L7-POLANCO,Polanco,19.43355,-99.19093,0200L7-POLANCO,2
0200L7-SANJOAQUIN,San Joaquín,19.44501,-99.19177,0200L7-SANJOAQUIN,2
0200L7-TACUBA,Tacuba,19.45823,-99.18717,0200L7-TACUBA,2
0200L7-REFINERIA,Refinería,19.46947,-99.19051,0200L7-REFINERIA,2
0200L7-CAMARONES,Camarones,19.47911,-99.19004,0200L7-CAMARONES,2
0200L7-AQUILESSERD,Aquiles Serdán,19.49064,-99.19535,0200L7-AQUILESSERD,2
0200L7-ELROSARIO,El Rosario,19.50474,-99.20012,0200L7-ELROSARIO,1
0200L6-MARTINCARR,Martín Carrera,19.48294,-99.10748,0200L6-MARTINCARR,2
0200L6-LAVILLA,La Villa y Basílica,19.48174,-99.11837,0200L6-LAVILLA,2
0200L6-DTVO18MARZO,Deportivo 18 de Marzo,19.48348,-99.1253,0200L6-DTVO18MARZO,2
0200L6-LINDAVISTA,Lindavista,19.48811,-99.13507,0200L6-LINDAVISTA,2
0200L6-ITOPETROLEO,Instituto del Petróleo,19.49104,-99.14813,0200L6-ITOPETROLEO,2
0200L6-VALLEJO,Vallejo,19.48985,-99.156,0200L6-VALLEJO,2
0200L6-NORTE45,Norte 45,19.48867000000001,-99.16299,0200L6-NORTE45,2
0200L6-FERRERIA,Ferrería y Arena Ciudad de México,19.49067,-99.17415,0200L6-FERRERIA,2
0200L6-AZCAPOTZALCO,UAM Azcapotzalco,19.49091,-99.18627,0200L6-AZCAPOTZALCO,2
0200L6-TEZOZOMOC,Tezozómoc,19.4949,-99.19602,0200L6-TEZOZOMOC,2
0200L6-ELROSARIO,El Rosario,19.50463,-99.19977,0200L6-ELROSARIO,1
0200L5-PANTITLAN,Pantitlán,19.4151,-99.07433,0200L5-PANTITLAN,1
0200L5-HANGARES,Hangares,19.42435,-99.08813,0200L5-HANGARES,2
0200L5-TNALAEREA,Terminal Aérea,19.43427,-99.08808,0200L5-TNALAEREA,2
0200L5-OCEANIA,Oceanía,19.44502,-99.08687,0200L5-OCEANIA,2
0200L5-ARAGON,Aragón,19.45126,-99.09621,0200L5-ARAGON,2
0200L5-EDUARDOMOLI,Eduardo Molina,19.4514,-99.1053,0200L5-EDUARDOMOLI,2
0200L5-CONSULADO,Consulado,19.45514,-99.11354,0200L5-CONSULADO,2
0200L5-VALLEGOMEZ,Valle Gómez,19.45887,-99.11949,0200L5-VALLEGOMEZ,2
0200L5-MISTERIOS,Misterios,19.46311,-99.13024,0200L5-MISTERIOS,2
0200L5-LARAZA,La Raza,19.46967,-99.13652,0200L5-LARAZA,1
0200L5-AUTOBUSESNTE,Autobuses del Norte,19.47907,-99.14065,0200L5-AUTOBUSESNTE,1
0200L5-ITOPETROLEO,Instituto del Petróleo,19.48934,-99.14471,0200L5-ITOPETROLEO,2
0200L5-POLITECNICO,Politécnico,19.50068,-99.14921,0200L5-POLITECNICO,1
0200L4-SNTAANITA,Santa Anita,19.40289,-99.1217,0200L4-SNTAANITA,2
0200L4-JAMAICA,Jamaica,19.41092,-99.12174,0200L4-JAMAICA,2
0200L4-FRAYSERVANDO,Fray Servando,19.42159,-99.12053,0200L4-FRAYSERVANDO,2
0200L4-CANDELARIA,Candelaria,19.42876,-99.11943,0200L4-CANDELARIA,2
0200L4-MORELOS,Morelos,19.43966,-99.11815,0200L4-MORELOS,2
0200L4-CANALNTE,Canal del Norte,19.44895,-99.11613,0200L4-CANALNTE,2
0200L4-CONSULADO,Consulado,19.45802,-99.1139,0200L4-CONSULADO,2
0200L4-BONDOJITO,Bondojito,19.46463,-99.11198,0200L4-BONDOJITO,2
0200L4-TALISMAN,Talismán,19.47436,-99.10801,0200L4-TALISMAN,2
0200L4-MARTINCARR,Martín Carrera,19.48504,-99.10437,0200L4-MARTINCARR,2
0200L3-UNIVERSIDAD,Universidad,19.32435,-99.17394,0200L3-UNIVERSIDAD,1
0200L3-COPILCO,Copilco,19.3361,-99.17697,0200L3-COPILCO,1
0200L3-MAQ,Miguel Ángel de Quevedo,19.34625,-99.18076,0200L3-MAQ,2
0200L3-VIVEROS,Viveros y  Derechos Humanos,19.35346,-99.176,0200L3-VIVEROS,2
0200L3-COYOACAN,Coyoacán,19.36136,-99.17086,0200L3-COYOACAN,2
0200L3-ZAPATA,Zapata,19.37119,-99.16451,0200L3-ZAPATA,1
0200L3-DIVISIONNTE,División del Norte,19.37918,-99.15948,0200L3-DIVISIONNTE,2
0200L3-EUGENIA,Eugenia,19.38617,-99.1572,0200L3-EUGENIA,2
0200L3-ETIOPIA,Etiopía y Plaza de la Transparencia,19.39592,-99.15603,0200L3-ETIOPIA,1
0200L3-CENTROMEDICO,Centro Médico,19.40773,-99.15515,0200L3-CENTROMEDICO,1
0200L3-HOSPITALGRAL,Hospital General,19.41376,-99.15325,0200L3-HOSPITALGRAL,1
0200L3-NINOSHEROES,Niños Héroes y  Poder Judicial CDMX,19.41948,-99.15036,0200L3-NINOSHEROES,2
0200L3-BALDERAS,Balderas,19.42648,-99.14906,0200L3-BALDERAS,1
0200L3-JUAREZ,Juárez,19.43325,-99.14768,0200L3-JUAREZ,1
0200L3-HIDALGO,Hidalgo,19.43738,-99.14678,0200L3-HIDALGO,2
0200L3-GUERRERO,Guerrero,19.44473,-99.14519,0200L3-GUERRERO,2
0200L3-TLATELOLCO,Tlatelolco,19.45506,-99.14313,0200L3-TLATELOLCO,2
0200L3-LARAZA,La Raza,19.46888,-99.13951,0200L3-LARAZA,1
0200L3-POTRERO,Potrero,19.47719,-99.13201,0200L3-POTRERO,2
0200L3-DTVO18MARZO,Deportivo 18 de Marzo,19.48511,-99.1255,0200L3-DTVO18MARZO,2
0200L3-INDIOSVERD,Indios Verdes,19.49534,-99.11951,0200L3-INDIOSVERD,2
0200L2-TASQUENA,Tasqueña,19.34376,-99.13953,0200L2-TASQUENA,1
0200L2-GRALANAYA,General Anaya,19.35324,-99.14501,0200L2-GRALANAYA,2
0200L2-ERMITA,Ermita,19.36198,-99.1429,0200L2-ERMITA,1
0200L2-PORTALES,Portales,19.36992,-99.14157,0200L2-PORTALES,2
0200L2-NATIVITAS,Nativitas,19.38005,-99.14002,0200L2-NATIVITAS,2
0200L2-VILLADECORT,Villa de Cortés,19.38758,-99.13896,0200L2-VILLADECORT,2
0200L2-XOLA,Xola,19.39521,-99.13781,0200L2-XOLA,1
0200L2-VIADUCTO,Viaducto,19.40087,-99.1369,0200L2-VIADUCTO,2
0200L2-CHABACANO,Chabacano,19.40918,-99.13562,0200L2-CHABACANO,1
0200L2-SANANTONIO,San Antonio Abad,19.41602,-99.13454,0200L2-SANANTONIO,2
0200L2-PINOSUAREZ,Pino Suárez,19.42438,-99.13294,0200L2-PINOSUAREZ,1
0200L2-ZOCALO,Zócalo,19.4325,-99.13225,0200L2-ZOCALO,1
0200L2-ALLENDE,Allende,19.43556,-99.13687,0200L2-ALLENDE,2
0200L2-BELLASARTES,Bellas Artes,19.43638,-99.14161,0200L2-BELLASARTES,2
0200L2-HIDALGO,Hidalgo,19.43755,-99.14722,0200L2-HIDALGO,2
0200L2-REVOLUCION,Revolución,19.43923,-99.15423,0200L2-REVOLUCION,1
0200L2-SANCOSME,San Cosme,19.4419,-99.16066,0200L2-SANCOSME,2
0200L2-NORMAL,Normal,19.44456,-99.16727,0200L2-NORMAL,2
0200L2-COLMILITAR,Colegio Militar,19.44927,-99.17178,0200L2-COLMILITAR,2
0200L2-POPOTLA,Popotla,19.45291,-99.17549,0200L2-POPOTLA,2
0200L2-CUITLAHUAC,Cuitláhuac,19.45725,-99.1815,0200L2-CUITLAHUAC,2
0200L2-TACUBA,Tacuba,19.45938,-99.18823,0200L2-TACUBA,2
0200L2-PANTEONES,Panteones,19.45864,-99.20295,0200L2-PANTEONES,2
0200L2-CUATROCAMIN,Cuatro Caminos,19.45959,-99.21584,0200L2-CUATROCAMIN,1
0200L1-PANTITLAN,Pantitlán,19.41633,-99.07474,0200L1-PANTITLAN,1
